full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"  188P/LINEAR-Mueller",.4148529023488451,2.565145710223482,10.51135701353678,358.9814968959161,26.77145035596338,6.20237862859751,20170217.0428473,9.17864723868602,JFc,3993,0,1150,,,,,,11.3,11.,13.9,5.,0.03,,,,,
"  189P/NEAT",.5976635079194662,1.173800687651032,20.40128623582695,282.1995605467127,15.30269227528813,4.661119637776858,20070725.9361614,4.98328360476911,JFc,5573,0,1450,,-3.709464234030897E-10,-4.917456210051541E-11,,,19.1,4.5,,,,,,,,
"  190P/Mueller",.520745591883073,2.031923755618229,2.189852345931994,336.1151285423772,49.73911755327738,6.44759660435929,20070708.2090868,8.73011851962952,JFc,6716,0,330,,,,,,13.7,10.75,,,,,,,,
"  191P/McNaught",.4204539437568819,2.04732528221437,8.760584035129821,106.5235573365661,274.1771034804343,5.017946787743509,20070913.2396478,6.63982364059787,JFc,7455,0,719,,6.509831033009138E-9,-7.159203076675717E-11,2.473087705285404E-13,,13.4,9.,,,,,,,,
"  192P/Shoemaker-Levy 1",.7740800338485342,1.460559253300469,24.56930100022372,51.66440242999915,312.7842038623888,11.46932275917515,20071217.2409963,16.438229957869,JFc,6324,1,139,,,,,,12.1,14.5,15.4,5.,0.03,,,,,
"  193P/LINEAR-NEAT",.4017478216863445,2.130090381166303,10.80632669047011,336.0016408013694,7.959030407195055,4.99095475124114,20080217.4883001,6.71860047325216,JFc,7214,1,349,,1.892170689013306E-8,-1.502047158858048E-9,,,7.2,27.75,16.3,5.,0.03,,,,,
"  194P/LINEAR",.5755808395443396,1.697713555806843,11.13800510665402,351.9937652644215,130.711455746716,6.302460394795018,20160302.4425143,8.00041202495453,JFc,5940,2,198,,7.27644840784116E-10,-1.720461369036189E-10,,,14.1,17.,17.8,5.,0.03,,,,,
"  195P/Hill",.3150495598886983,4.438217478400857,36.3675062092703,243.2611482002586,249.6537017235729,8.521019332016154,20090121.4319237,16.4942414544035,JFc,7042,0,252,,,,,,8.4,10.25,12.5,5.,0.03,,,,,
"  196P/Tichy",.4313134636584931,2.150486794387736,19.37779809475703,24.36813921395573,11.59879573819078,5.4125084831946,20001003.3410937,7.35366688153324,JFc,5507,1,237,,,,,,12.3,16.,16.8,5.,0.03,,,,,
"  197P/LINEAR",.629922217478288,1.061186439297253,25.55595010958105,66.39570290701492,188.7502286652151,4.673750859917647,20080518.9989202,4.85574889344401,JFc,3778,0,323,,-5.216315762248343E-11,1.683324056526035E-11,9.04715992822445E-11,,18.2,6.75,20.1,5.,0.03,,,,,
