,id,ra,dec,mag,name_bayer,name_bayer_full,name_english,name_flamsteed_full
5631,134373,227.575,-26.33277777777778,5.76,-,-,-,-
5632,134444,227.89166666666665,-45.277499999999996,6.44,-,-,-,-
5633,134443,227.87916666666666,-45.279444444444444,7.39,-,-,-,-
5634,134453,228.57916666666665,-70.07944444444443,5.81,-,-,-,-
5635,134468,228.25416666666663,-61.74388888888889,6.32,-,-,-,-
5636,134481,227.98333333333332,-48.73777777777778,3.87,κ¹,κ¹-Lup,-,-
5637,134482,227.98749999999998,-48.743611111111115,5.69,κ²,κ²-Lup,-,-
5638,134493,227.07916666666665,50.055,6.39,-,-,-,-
5639,134505,228.0708333333333,-52.09916666666667,3.41,ζ,ζ-Lup,-,-
5640,134597,228.12916666666666,-48.218611111111116,6.33,-,-,-,-
5641,134687,228.20416666666662,-44.50055555555556,4.82,-,-,-,-
5642,134759,228.05416666666665,-19.791666666666668,4.54,ι¹,ι¹-Lib,-,24-Lib
5643,134837,228.27916666666664,-36.09138888888889,6.1,-,-,-,-
5644,134943,228.01666666666665,18.97583333333333,5.89,-,-,-,-
5645,134946,228.32083333333335,-24.008333333333333,6.47,-,-,-,-
5646,134967,228.32916666666665,-19.6475,6.08,ι²,ι²-Lib,-,25-Lib
5647,134987,228.36666666666667,-25.309166666666666,6.45,-,-,-,23-Lib
5648,135051,228.47083333333333,-26.19361111111111,5.84,-,-,-,-
5649,135101,228.17916666666662,19.285833333333336,6.68,-,-,-,-
5650,135153,228.65416666666667,-31.519166666666667,4.91,-,-,-,1-Lup
5651,135160,229.15,-60.903888888888886,5.73,-,-,-,-
5652,135230,228.63750000000002,-17.76861111111111,6.17,-,-,-,26-Lib
5653,135235,228.97083333333333,-48.07416666666667,5.95,-,-,-,-
5654,135240,229.23333333333338,-60.9575,5.09,δ,δ-Cir,-,-
5655,135263,228.37916666666666,22.983333333333334,6.3,-,-,-,-
5656,135291,229.4083333333333,-63.61055555555556,4.86,ε,ε-Cir,-,-
5657,135345,229.01666666666668,-41.49111111111111,5.16,-,-,-,-
5658,135348,229.04166666666669,-43.484722222222224,6.04,-,-,-,-
5659,135367,228.70833333333331,-5.502777777777778,6.28,-,-,-,-
5660,135379,229.375,-58.801111111111105,4.07,β,β-Cir,-,-
5661,135382,229.72500000000002,-68.67944444444444,2.89,γ,γ-TrA,-,-
5662,135384,227.68333333333334,67.78138888888888,6.17,-,-,-,-
